,RUID,Assigned Rooms
0,205819037,"['SA', 'Apt 133 - 148', '133-A']"
1,186798742,"['SA', 'Apt 133 - 148', '133-B']"
2,373348904,"['SA', 'Apt 133 - 148', '133-C']"
3,359753127,"['SA', 'Apt 133 - 148', '133-D']"
4,433866513,"['SA', 'Apt 133 - 148', '134-A']"
5,535324862,"['SA', 'Apt 133 - 148', '134-B']"
6,740338010,"['SA', 'Apt 133 - 148', '134-D']"
7,399776005,"['SA', 'Apt 133 - 148', '134-C']"
8,651123205,"['SA', 'Apt 133 - 148', '141-A']"
9,655511745,"['SA', 'Apt 133 - 148', '141-B']"
10,288427367,"['SA', 'Apt 133 - 148', '141-C']"
11,420165264,"['SA', 'Apt 133 - 148', '141-D']"
12,222891387,"['SA', 'Apt 133 - 148', '142-B']"
13,926239987,"['SA', 'Apt 133 - 148', '142-A']"
14,866470954,"['SA', 'Apt 133 - 148', '142-C']"
15,282145386,"['SA', 'Apt 133 - 148', '142-D']"
16,582663467,"['SA', 'Apt 133 - 148', '135-A']"
17,779712041,"['SA', 'Apt 133 - 148', '135-B']"
18,535141249,"['SA', 'Apt 133 - 148', '135-C']"
19,859192170,"['SA', 'Apt 133 - 148', '135-D']"
20,316541638,"['SA', 'Apt 133 - 148', '136-A']"
21,344473633,"['SA', 'Apt 133 - 148', '136-B']"
22,283849842,"['SA', 'Apt 133 - 148', '136-C']"
23,152476322,"['SA', 'Apt 133 - 148', '136-D']"
24,910602632,"['SA', 'Apt 133 - 148', '143-A']"
25,778829888,"['SA', 'Apt 133 - 148', '143-B']"
26,967398430,"['SA', 'Apt 133 - 148', '143-C']"
27,852665751,"['SA', 'Apt 133 - 148', '143-D']"
28,402401537,"['SA', 'Apt 133 - 148', '144-A']"
29,724912714,"['SA', 'Apt 133 - 148', '144-B']"
30,351058258,"['SA', 'Apt 133 - 148', '144-D']"
31,500676165,"['SA', 'Apt 133 - 148', '144-C']"
32,727910793,"['SA', 'Apt 133 - 148', '137-A']"
33,498936595,"['SA', 'Apt 133 - 148', '137-B']"
34,997157729,"['SA', 'Apt 133 - 148', '137-C']"
35,904936757,"['SA', 'Apt 133 - 148', '137-D']"
36,392103616,"['SA', 'Apt 133 - 148', '138-B']"
37,921400593,"['SA', 'Apt 133 - 148', '138-C']"
38,895927948,"['SA', 'Apt 133 - 148', '138-A']"
39,299455853,"['SA', 'Apt 133 - 148', '138-D']"
40,873591164,"['SA', 'Apt 133 - 148', '145-A']"
41,117719443,"['SA', 'Apt 133 - 148', '145-B']"
42,899529345,"['SA', 'Apt 133 - 148', '145-C']"
43,133574840,"['SA', 'Apt 133 - 148', '145-D']"
44,275010301,"['SA', 'Apt 133 - 148', '146-A']"
45,394255656,"['SA', 'Apt 133 - 148', '146-B']"
46,961514395,"['SA', 'Apt 133 - 148', '146-C']"
47,707252805,"['SA', 'Apt 133 - 148', '146-D']"
48,900398857,"['SA', 'Apt 133 - 148', '147-B']"
49,322562737,"['SA', 'Apt 133 - 148', '147-A']"
50,997862055,"['SA', 'Apt 133 - 148', '147-C']"
51,568305966,"['SA', 'Apt 133 - 148', '147-D']"
52,499489169,"['SA', 'Apt 133 - 148', '148-D']"
53,770085337,"['SA', 'Apt 133 - 148', '148-A']"
54,555747424,"['SA', 'Apt 133 - 148', '148-C']"
55,611039233,"['SA', 'Apt 133 - 148', '148-B']"
56,586602985,"['SA', 'Apt 133 - 148', '139-A']"
57,433092305,"['SA', 'Apt 133 - 148', '139-B']"
58,257120729,"['SA', 'Apt 133 - 148', '139-C']"
59,502567836,"['SA', 'Apt 133 - 148', '139-D']"
60,872561859,"['SA', 'Apt 133 - 148', '140-A']"
61,913922528,"['SA', 'Apt 133 - 148', '140-B']"
62,368342491,"['SA', 'Apt 133 - 148', '140-C']"
63,762805802,"['SA', 'Apt 133 - 148', '140-D']"
64,513474680,"['SA', 'Apt 149 - 164', '149-A']"
65,748022173,"['SA', 'Apt 149 - 164', '149-B']"
66,225009177,"['SA', 'Apt 149 - 164', '149-C']"
67,518689199,"['SA', 'Apt 149 - 164', '149-D']"
68,122113947,"['SA', 'Apt 149 - 164', '150-A']"
69,728344198,"['SA', 'Apt 149 - 164', '150-B']"
70,968549852,"['SA', 'Apt 149 - 164', '150-C']"
71,712699983,"['SA', 'Apt 149 - 164', '150-D']"
72,180272439,"['SA', 'Apt 149 - 164', '151-A']"
73,514531092,"['SA', 'Apt 149 - 164', '151-B']"
74,366261417,"['SA', 'Apt 149 - 164', '151-C']"
75,141284445,"['SA', 'Apt 149 - 164', '151-D']"
76,965501468,"['SA', 'Apt 149 - 164', '152-A']"
77,110322866,"['SA', 'Apt 149 - 164', '152-B']"
78,198851720,"['SA', 'Apt 149 - 164', '152-C']"
79,170040959,"['SA', 'Apt 149 - 164', '152-D']"
80,499078845,"['SA', 'Apt 149 - 164', '153-A']"
81,416193960,"['SA', 'Apt 149 - 164', '153-B']"
82,432086247,"['SA', 'Apt 149 - 164', '153-C']"
83,723091817,"['SA', 'Apt 149 - 164', '153-D']"
84,979343873,"['SA', 'Apt 149 - 164', '154-A']"
85,607649192,"['SA', 'Apt 149 - 164', '154-B']"
86,421462888,"['SA', 'Apt 149 - 164', '154-C']"
87,644093257,"['SA', 'Apt 149 - 164', '154-D']"
88,505978242,"['SA', 'Apt 149 - 164', '155-A']"
89,688429319,"['SA', 'Apt 149 - 164', '155-B']"
90,172482738,"['SA', 'Apt 149 - 164', '155-C']"
91,302767160,"['SA', 'Apt 149 - 164', '155-D']"
92,507144282,"['SA', 'Apt 149 - 164', '156-A']"
93,901840683,"['SA', 'Apt 149 - 164', '156-B']"
94,219170583,"['SA', 'Apt 149 - 164', '156-C']"
95,797543282,"['SA', 'Apt 149 - 164', '156-D']"
96,857542321,"['SA', 'Apt 149 - 164', '157-A']"
97,279281716,"['SA', 'Apt 149 - 164', '157-B']"
