,RUID,Assigned Rooms
0,391117645,"['SA', 'Apt 133 - 148', '133-A']"
1,819563023,"['SA', 'Apt 133 - 148', '133-B']"
2,290367311,"['SA', 'Apt 133 - 148', '133-C']"
3,783969160,"['SA', 'Apt 133 - 148', '133-D']"
4,441508495,"['SA', 'Apt 133 - 148', '134-A']"
5,783469332,"['SA', 'Apt 133 - 148', '134-B']"
6,138901797,"['SA', 'Apt 133 - 148', '134-C']"
7,944564361,"['SA', 'Apt 133 - 148', '134-D']"
8,745961561,"['SA', 'Apt 133 - 148', '141-A']"
9,705730508,"['SA', 'Apt 133 - 148', '141-B']"
10,259785694,"['SA', 'Apt 133 - 148', '141-D']"
11,571486102,"['SA', 'Apt 133 - 148', '141-C']"
12,373260264,"['SA', 'Apt 133 - 148', '142-B']"
13,694455912,"['SA', 'Apt 133 - 148', '142-D']"
14,955152748,"['SA', 'Apt 133 - 148', '142-C']"
15,482323016,"['SA', 'Apt 133 - 148', '142-A']"
16,224505253,"['SA', 'Apt 133 - 148', '135-B']"
17,903464523,"['SA', 'Apt 133 - 148', '135-A']"
18,790550356,"['SA', 'Apt 133 - 148', '135-C']"
19,286133665,"['SA', 'Apt 133 - 148', '135-D']"
20,884580868,"['SA', 'Apt 133 - 148', '136-A']"
21,794296533,"['SA', 'Apt 133 - 148', '136-B']"
22,361280025,"['SA', 'Apt 133 - 148', '136-C']"
23,494846809,"['SA', 'Apt 133 - 148', '136-D']"
24,161416525,"['SA', 'Apt 133 - 148', '143-A']"
25,407387498,"['SA', 'Apt 133 - 148', '143-B']"
26,540889642,"['SA', 'Apt 133 - 148', '143-C']"
27,837849275,"['SA', 'Apt 133 - 148', '143-D']"
28,225961133,"['SA', 'Apt 133 - 148', '144-A']"
29,166926580,"['SA', 'Apt 133 - 148', '144-B']"
30,366261623,"['SA', 'Apt 133 - 148', '144-C']"
31,822786897,"['SA', 'Apt 133 - 148', '144-D']"
32,953785970,"['SA', 'Apt 133 - 148', '137-A']"
33,806174483,"['SA', 'Apt 133 - 148', '137-B']"
34,266513857,"['SA', 'Apt 133 - 148', '137-C']"
35,111639038,"['SA', 'Apt 133 - 148', '137-D']"
36,188361964,"['SA', 'Apt 133 - 148', '138-A']"
37,117048752,"['SA', 'Apt 133 - 148', '138-B']"
38,253056725,"['SA', 'Apt 133 - 148', '138-C']"
39,932051833,"['SA', 'Apt 133 - 148', '138-D']"
40,309801461,"['SA', 'Apt 133 - 148', '145-A']"
41,256893657,"['SA', 'Apt 133 - 148', '145-B']"
42,881950408,"['SA', 'Apt 133 - 148', '145-C']"
43,849712026,"['SA', 'Apt 133 - 148', '145-D']"
44,895120525,"['SA', 'Apt 133 - 148', '146-C']"
45,751135090,"['SA', 'Apt 133 - 148', '146-A']"
46,550810237,"['SA', 'Apt 133 - 148', '146-B']"
47,911217518,"['SA', 'Apt 133 - 148', '146-D']"
48,442061684,"['SA', 'Apt 133 - 148', '147-A']"
49,794603652,"['SA', 'Apt 133 - 148', '147-B']"
50,369462073,"['SA', 'Apt 133 - 148', '147-C']"
51,797761907,"['SA', 'Apt 133 - 148', '147-D']"
52,372434557,"['SA', 'Apt 133 - 148', '148-A']"
53,774627109,"['SA', 'Apt 133 - 148', '148-B']"
54,729634404,"['SA', 'Apt 133 - 148', '148-C']"
55,462665624,"['SA', 'Apt 133 - 148', '148-D']"
56,772858993,"['SA', 'Apt 133 - 148', '139-A']"
57,292114573,"['SA', 'Apt 133 - 148', '139-B']"
58,428127168,"['SA', 'Apt 133 - 148', '139-C']"
59,654894285,"['SA', 'Apt 133 - 148', '139-D']"
60,577606219,"['SA', 'Apt 133 - 148', '140-C']"
61,921778032,"['SA', 'Apt 133 - 148', '140-B']"
62,917458133,"['SA', 'Apt 133 - 148', '140-D']"
63,481393784,"['SA', 'Apt 133 - 148', '140-A']"
64,832399977,"['SA', 'Apt 149 - 164', '149-D']"
65,574321768,"['SA', 'Apt 149 - 164', '149-A']"
66,993343242,"['SA', 'Apt 149 - 164', '149-C']"
67,584679687,"['SA', 'Apt 149 - 164', '149-B']"
68,187867377,"['SA', 'Apt 149 - 164', '150-A']"
69,914096801,"['SA', 'Apt 149 - 164', '150-B']"
70,433352994,"['SA', 'Apt 149 - 164', '150-C']"
71,665455196,"['SA', 'Apt 149 - 164', '150-D']"
72,622401914,"['SA', 'Apt 149 - 164', '151-A']"
73,433716053,"['SA', 'Apt 149 - 164', '151-B']"
74,801119354,"['SA', 'Apt 149 - 164', '151-C']"
75,977412428,"['SA', 'Apt 149 - 164', '151-D']"
76,618068348,"['SA', 'Apt 149 - 164', '152-A']"
77,562643797,"['SA', 'Apt 149 - 164', '152-B']"
78,336393788,"['SA', 'Apt 149 - 164', '152-C']"
79,443841948,"['SA', 'Apt 149 - 164', '152-D']"
80,763400874,"['SA', 'Apt 149 - 164', '153-C']"
81,689926596,"['SA', 'Apt 149 - 164', '153-B']"
82,586124120,"['SA', 'Apt 149 - 164', '153-D']"
83,556027412,"['SA', 'Apt 149 - 164', '153-A']"
84,990527386,"['SA', 'Apt 149 - 164', '154-D']"
85,364745703,"['SA', 'Apt 149 - 164', '154-B']"
86,130260151,"['SA', 'Apt 149 - 164', '154-C']"
87,298346769,"['SA', 'Apt 149 - 164', '154-A']"
88,799042438,"['SA', 'Apt 149 - 164', '155-B']"
89,718811786,"['SA', 'Apt 149 - 164', '155-A']"
90,810875610,"['SA', 'Apt 149 - 164', '155-C']"
91,908443336,"['SA', 'Apt 149 - 164', '155-D']"
92,342481165,"['SA', 'Apt 149 - 164', '156-A']"
93,598851875,"['SA', 'Apt 149 - 164', '156-B']"
94,639896689,"['SA', 'Apt 149 - 164', '156-C']"
95,630940701,"['SA', 'Apt 149 - 164', '156-D']"
96,508811894,"['SA', 'Apt 149 - 164', '157-A']"
97,434876079,"['SA', 'Apt 149 - 164', '157-B']"
98,910005373,"['SA', 'Apt 149 - 164', '157-C']"
99,260481649,"['SA', 'Apt 149 - 164', '157-D']"
100,655370755,"['SA', 'Apt 149 - 164', '158-A']"
101,937503993,"['SA', 'Apt 149 - 164', '158-B']"
102,882225142,"['SA', 'Apt 149 - 164', '158-C']"
103,540998212,"['SA', 'Apt 149 - 164', '158-D']"
104,217960119,"['SA', 'Apt 149 - 164', '159-D']"
105,919137768,"['SA', 'Apt 149 - 164', '159-A']"
106,497514787,"['SA', 'Apt 149 - 164', '159-C']"
107,509105770,"['SA', 'Apt 149 - 164', '159-B']"
108,927567580,"['SA', 'Apt 149 - 164', '160-B']"
109,739455600,"['SA', 'Apt 149 - 164', '160-A']"
110,334796100,"['SA', 'Apt 149 - 164', '160-C']"
111,271588479,"['SA', 'Apt 149 - 164', '160-D']"
112,814644023,"['SA', 'Apt 149 - 164', '161-A']"
113,840355584,"['SA', 'Apt 149 - 164', '161-C']"
114,813743119,"['SA', 'Apt 149 - 164', '161-B']"
115,167871836,"['SA', 'Apt 149 - 164', '161-D']"
116,190769854,"['SA', 'Apt 149 - 164', '162-C']"
117,786202462,"['SA', 'Apt 149 - 164', '162-B']"
118,708103542,"['SA', 'Apt 149 - 164', '162-D']"
119,636114121,"['SA', 'Apt 149 - 164', '162-A']"
120,441693088,"['SA', 'Apt 149 - 164', '163-A']"
121,396666320,"['SA', 'Apt 149 - 164', '163-B']"
122,916513832,"['SA', 'Apt 149 - 164', '163-C']"
123,348365886,"['SA', 'Apt 149 - 164', '163-D']"
124,551984217,"['SA', 'Apt 149 - 164', '164-A']"
125,356029437,"['SA', 'Apt 149 - 164', '164-B']"
126,803710149,"['SA', 'Apt 149 - 164', '164-C']"
127,451182682,"['SA', 'Apt 149 - 164', '164-D']"
128,115314020,"['SA', 'Apt 165 - 180', '165-A']"
129,578566909,"['SA', 'Apt 165 - 180', '165-B']"
130,423468113,"['SA', 'Apt 165 - 180', '165-C']"
131,270639725,"['SA', 'Apt 165 - 180', '165-D']"
132,718584582,"['SA', 'Apt 165 - 180', '166-A']"
133,128453879,"['SA', 'Apt 165 - 180', '166-B']"
134,218268999,"['SA', 'Apt 165 - 180', '166-C']"
135,746013955,"['SA', 'Apt 165 - 180', '166-D']"
136,347350342,"['SA', 'Apt 165 - 180', '167-A']"
137,703873687,"['SA', 'Apt 165 - 180', '167-C']"
138,260844849,"['SA', 'Apt 165 - 180', '167-B']"
139,764625789,"['SA', 'Apt 165 - 180', '167-D']"
140,367413973,"['SA', 'Apt 165 - 180', '168-C']"
141,561168816,"['SA', 'Apt 165 - 180', '168-B']"
142,706879490,"['SA', 'Apt 165 - 180', '168-D']"
143,502868410,"['SA', 'Apt 165 - 180', '168-A']"
144,164226938,"['SA', 'Apt 165 - 180', '169-A']"
145,737330209,"['SA', 'Apt 165 - 180', '169-B']"
146,367952367,"['SA', 'Apt 165 - 180', '169-C']"
147,920902198,"['SA', 'Apt 165 - 180', '169-D']"
148,957723615,"['SA', 'Apt 165 - 180', '170-B']"
149,410496650,"['SA', 'Apt 165 - 180', '170-A']"
150,800382176,"['SA', 'Apt 165 - 180', '170-C']"
151,448221156,"['SA', 'Apt 165 - 180', '170-D']"
152,667635928,"['SA', 'Apt 165 - 180', '171-A']"
153,395540652,"['SA', 'Apt 165 - 180', '171-B']"
154,828070603,"['SA', 'Apt 165 - 180', '171-C']"
155,655346828,"['SA', 'Apt 165 - 180', '171-D']"
156,419283376,"['SA', 'Apt 165 - 180', '172-A']"
157,819910544,"['SA', 'Apt 165 - 180', '172-B']"
158,323504187,"['SA', 'Apt 165 - 180', '172-C']"
159,715923031,"['SA', 'Apt 165 - 180', '172-D']"
160,466623163,"['SA', 'Apt 165 - 180', '173-A']"
161,898891356,"['SA', 'Apt 165 - 180', '173-B']"
162,862463542,"['SA', 'Apt 165 - 180', '173-C']"
163,396001838,"['SA', 'Apt 165 - 180', '173-D']"
164,598585595,"['SA', 'Apt 165 - 180', '174-A']"
165,634396244,"['SA', 'Apt 165 - 180', '174-B']"
166,142205293,"['SA', 'Apt 165 - 180', '174-C']"
167,488460171,"['SA', 'Apt 165 - 180', '174-D']"
168,655485904,"['BS', 'West', '201A-A']"
169,568722053,"['SA', 'Apt 165 - 180', '175-C']"
170,802098977,"['SA', 'Apt 165 - 180', '175-B']"
171,639086885,"['SA', 'Apt 165 - 180', '175-A']"
172,493945024,"['BS', 'West', '201A-B']"
173,289651269,"['SA', 'Apt 165 - 180', '175-D']"
174,654464401,"['SA', 'Apt 165 - 180', '176-D']"
175,951294784,"['SA', 'Apt 165 - 180', '176-B']"
176,473968594,"['BS', 'West', '201A-C']"
177,993039270,"['SA', 'Apt 165 - 180', '176-C']"
178,723250600,"['SA', 'Apt 165 - 180', '176-A']"
179,466450248,"['SA', 'Apt 165 - 180', '177-A']"
180,524959652,"['SA', 'Apt 165 - 180', '177-C']"
181,803531336,"['SA', 'Apt 165 - 180', '177-B']"
182,853328526,"['SA', 'Apt 165 - 180', '177-D']"
183,908556294,"['SA', 'Apt 165 - 180', '178-A']"
184,869510163,"['SA', 'Apt 165 - 180', '178-B']"
185,580527201,"['BS', 'West', '201A-D']"
186,605175125,"['BS', 'West', '201B-B']"
187,995554668,"['BS', 'West', '201B-D']"
188,413752259,"['SA', 'Apt 165 - 180', '178-C']"
189,983493868,"['SA', 'Apt 165 - 180', '178-D']"
190,516246585,"['BS', 'West', '201B-C']"
191,287424759,"['SA', 'Apt 165 - 180', '179-C']"
192,363394320,"['SA', 'Apt 165 - 180', '179-A']"
193,844977359,"['SA', 'Apt 165 - 180', '179-D']"
194,414432622,"['BS', 'West', '201B-A']"
195,888217702,"['SA', 'Apt 165 - 180', '179-B']"
196,972373711,"['SA', 'Apt 165 - 180', '180-A']"
197,267311386,"['BS', 'West', '202A-A']"
198,564873747,"['BS', 'West', '202A-D']"
199,867888591,"['SA', 'Apt 165 - 180', '180-B']"
200,445697834,"['BS', 'West', '202A-C']"
201,781107129,"['SA', 'Apt 165 - 180', '180-C']"
202,979846945,"['SA', 'Apt 165 - 180', '180-D']"
203,553869593,"['BS', 'West', '202A-B']"
204,460738079,"['SA', 'Apt 181 - 196', '181-A']"
205,117850272,"['BS', 'West', '202B-C']"
206,930699028,"['BS', 'West', '202B-B']"
207,335397921,"['BS', 'West', '202B-A']"
208,792883217,"['BS', 'West', '202B-D']"
209,416478612,"['BS', 'West', '203A-A']"
210,217003181,"['SA', 'Apt 181 - 196', '181-B']"
211,619176053,"['SA', 'Apt 181 - 196', '181-C']"
212,271061701,"['SA', 'Apt 181 - 196', '181-D']"
213,203095444,"['SA', 'Apt 181 - 196', '182-D']"
214,617155056,"['SA', 'Apt 181 - 196', '182-B']"
215,214808989,"['SA', 'Apt 181 - 196', '182-C']"
216,883985745,"['SA', 'Apt 181 - 196', '182-A']"
217,651974551,"['SA', 'Apt 181 - 196', '183-C']"
218,449234457,"['SA', 'Apt 181 - 196', '183-B']"
219,186715534,"['SA', 'Apt 181 - 196', '183-A']"
220,569496065,"['SA', 'Apt 181 - 196', '183-D']"
221,754339370,"['SA', 'Apt 181 - 196', '184-A']"
222,674915868,"['BS', 'West', '203A-B']"
223,964280585,"['SA', 'Apt 181 - 196', '184-B']"
224,448210531,"['BS', 'West', '203A-C']"
