,RUID,Assigned Rooms
0,804561863,"['SA', 'Apt 133 - 148', '133-C']"
1,364164590,"['SA', 'Apt 133 - 148', '133-B']"
2,722871966,"['SA', 'Apt 133 - 148', '133-A']"
3,944379524,"['SA', 'Apt 133 - 148', '133-D']"
4,717741141,"['SA', 'Apt 133 - 148', '134-D']"
5,230972311,"['SA', 'Apt 133 - 148', '134-A']"
6,431879861,"['SA', 'Apt 133 - 148', '134-C']"
7,532612536,"['SA', 'Apt 133 - 148', '134-B']"
8,385152361,"['SA', 'Apt 133 - 148', '141-C']"
9,215143549,"['SA', 'Apt 133 - 148', '141-B']"
10,414799907,"['SA', 'Apt 133 - 148', '141-A']"
11,953861606,"['SA', 'Apt 133 - 148', '141-D']"
12,978755356,"['SA', 'Apt 133 - 148', '142-B']"
13,532850723,"['SA', 'Apt 133 - 148', '142-D']"
14,574325425,"['SA', 'Apt 133 - 148', '142-C']"
15,604791093,"['SA', 'Apt 133 - 148', '142-A']"
16,371032410,"['SA', 'Apt 133 - 148', '135-B']"
17,152782265,"['SA', 'Apt 133 - 148', '135-C']"
18,248373165,"['SA', 'Apt 133 - 148', '135-A']"
19,616153008,"['SA', 'Apt 133 - 148', '135-D']"
20,524510518,"['SA', 'Apt 133 - 148', '136-B']"
21,141985208,"['SA', 'Apt 133 - 148', '136-C']"
22,455068162,"['SA', 'Apt 133 - 148', '136-A']"
23,318064950,"['SA', 'Apt 133 - 148', '136-D']"
24,162655024,"['SA', 'Apt 133 - 148', '143-D']"
25,146201673,"['SA', 'Apt 133 - 148', '143-B']"
26,148410323,"['SA', 'Apt 133 - 148', '143-A']"
27,735489895,"['SA', 'Apt 133 - 148', '143-C']"
28,921850324,"['SA', 'Apt 133 - 148', '144-A']"
29,437601750,"['SA', 'Apt 133 - 148', '144-B']"
30,713303411,"['SA', 'Apt 133 - 148', '144-C']"
31,814673942,"['SA', 'Apt 133 - 148', '144-D']"
32,545611698,"['SA', 'Apt 133 - 148', '137-D']"
33,199302575,"['SA', 'Apt 133 - 148', '137-B']"
34,894369625,"['SA', 'Apt 133 - 148', '137-A']"
35,139335352,"['SA', 'Apt 133 - 148', '137-C']"
36,876536835,"['SA', 'Apt 133 - 148', '138-D']"
37,208819740,"['SA', 'Apt 133 - 148', '138-B']"
38,531933341,"['SA', 'Apt 133 - 148', '138-A']"
39,816843484,"['SA', 'Apt 133 - 148', '138-C']"
40,723108234,"['SA', 'Apt 133 - 148', '145-B']"
41,535838563,"['SA', 'Apt 133 - 148', '145-A']"
42,829922523,"['SA', 'Apt 133 - 148', '145-C']"
43,831776779,"['SA', 'Apt 133 - 148', '145-D']"
44,968250744,"['SA', 'Apt 133 - 148', '146-A']"
45,962353610,"['SA', 'Apt 133 - 148', '146-B']"
46,988955242,"['SA', 'Apt 133 - 148', '146-C']"
47,906155943,"['SA', 'Apt 133 - 148', '146-D']"
48,390557915,"['SA', 'Apt 133 - 148', '147-C']"
49,699784220,"['SA', 'Apt 133 - 148', '147-A']"
50,210531978,"['SA', 'Apt 133 - 148', '147-B']"
51,726815962,"['SA', 'Apt 133 - 148', '147-D']"
52,966824404,"['SA', 'Apt 133 - 148', '148-D']"
53,687906641,"['SA', 'Apt 133 - 148', '148-A']"
54,672481774,"['SA', 'Apt 133 - 148', '148-C']"
55,509743086,"['SA', 'Apt 133 - 148', '148-B']"
56,419456486,"['SA', 'Apt 133 - 148', '139-A']"
57,688131998,"['SA', 'Apt 133 - 148', '139-D']"
58,727591312,"['SA', 'Apt 133 - 148', '139-B']"
59,614235486,"['SA', 'Apt 133 - 148', '139-C']"
60,253626558,"['SA', 'Apt 133 - 148', '140-B']"
61,367389892,"['SA', 'Apt 133 - 148', '140-D']"
62,849566613,"['SA', 'Apt 133 - 148', '140-C']"
63,536495740,"['SA', 'Apt 133 - 148', '140-A']"
64,982211901,"['SA', 'Apt 149 - 164', '149-B']"
65,341676823,"['SA', 'Apt 149 - 164', '149-C']"
66,777342549,"['SA', 'Apt 149 - 164', '149-A']"
67,400880058,"['SA', 'Apt 149 - 164', '149-D']"
68,804917702,"['SA', 'Apt 149 - 164', '150-A']"
69,484798610,"['SA', 'Apt 149 - 164', '150-C']"
70,858989153,"['SA', 'Apt 149 - 164', '150-B']"
71,146033002,"['SA', 'Apt 149 - 164', '150-D']"
